; Jos haluat sorkkia tätä tiedostoa käsin, ota ensin varmuuskopio.
; Erityisesti id-kenttien kopelointi voi aiheuttaa ongelmia!
; kunta_id | Kunta                | Maakunta
         0 |                      | 
         1 | Akaa                 | Pirkanmaa
         2 | Alajärvi             | Etelä-Pohjanmaa
         3 | Alavieska            | Pohjois-Pohjanmaa
         4 | Alavus               | Etelä-Pohjanmaa
         5 | Asikkala             | Päijät-Häme
         6 | Askola               | Uusimaa
         7 | Aura                 | Varsinais-Suomi
         8 | Brändö               | Ahvenanmaa
         9 | Eckerö               | Ahvenanmaa
        10 | Enonkoski            | Etelä-Savo
        11 | Enontekiö            | Lappi
        12 | Espoo                | Uusimaa
        13 | Eura                 | Satakunta
        14 | Eurajoki             | Satakunta
        15 | Evijärvi             | Etelä-Pohjanmaa
        16 | Finström             | Ahvenanmaa
        17 | Forssa               | Kanta-Häme
        18 | Föglö                | Ahvenanmaa
        19 | Geta                 | Ahvenanmaa
        20 | Haapajärvi           | Pohjois-Pohjanmaa
        21 | Haapavesi            | Pohjois-Pohjanmaa
        22 | Hailuoto             | Pohjois-Pohjanmaa
        23 | Halsua               | Keski-Pohjanmaa
        24 | Hamina               | Kymenlaakso
        25 | Hammarland           | Ahvenanmaa
        26 | Hankasalmi           | Keski-Suomi
        27 | Hanko                | Uusimaa
        28 | Harjavalta           | Satakunta
        29 | Hartola              | Päijät-Häme
        30 | Hattula              | Kanta-Häme
        31 | Hausjärvi            | Kanta-Häme
        32 | Heinola              | Päijät-Häme
        33 | Heinävesi            | Etelä-Savo
        34 | Helsinki             | Uusimaa
        35 | Hirvensalmi          | Etelä-Savo
        36 | Hollola              | Päijät-Häme
        37 | Honkajoki            | Satakunta
        38 | Huittinen            | Satakunta
        39 | Humppila             | Kanta-Häme
        40 | Hyrynsalmi           | Kainuu
        41 | Hyvinkää             | Uusimaa
        42 | Hämeenkyrö           | Pirkanmaa
        43 | Hämeenlinna          | Kanta-Häme
        44 | Ii                   | Pohjois-Pohjanmaa
        45 | Iisalmi              | Pohjois-Savo
        46 | Iitti                | Kymenlaakso
        47 | Ikaalinen            | Pirkanmaa
        48 | Ilmajoki             | Etelä-Pohjanmaa
        49 | Ilomantsi            | Pohjois-Karjala
        50 | Imatra               | Etelä-Karjala
        51 | Inari                | Lappi
        52 | Inkoo                | Uusimaa
        53 | Isojoki              | Etelä-Pohjanmaa
        54 | Isokyrö              | Pohjanmaa
        55 | Janakkala            | Kanta-Häme
        56 | Joensuu              | Pohjois-Karjala
        57 | Jokioinen            | Kanta-Häme
        58 | Jomala               | Ahvenanmaa
        59 | Joroinen             | Etelä-Savo
        60 | Joutsa               | Keski-Suomi
        61 | Juankoski            | Pohjois-Savo
        62 | Juuka                | Pohjois-Karjala
        63 | Juupajoki            | Pirkanmaa
        64 | Juva                 | Etelä-Savo
        65 | Jyväskylä            | Keski-Suomi
        66 | Jämijärvi            | Satakunta
        67 | Jämsä                | Keski-Suomi
        68 | Järvenpää            | Uusimaa
        69 | Kaarina              | Varsinais-Suomi
        70 | Kaavi                | Pohjois-Savo
        71 | Kajaani              | Kainuu
        72 | Kalajoki             | Pohjois-Pohjanmaa
        73 | Kangasala            | Pirkanmaa
        74 | Kangasniemi          | Etelä-Savo
        75 | Kankaanpää           | Satakunta
        76 | Kannonkoski          | Keski-Suomi
        77 | Kannus               | Keski-Pohjanmaa
        78 | Karijoki             | Etelä-Pohjanmaa
        79 | Karkkila             | Uusimaa
        80 | Karstula             | Keski-Suomi
        81 | Karvia               | Satakunta
        82 | Kaskinen             | Pohjanmaa
        83 | Kauhajoki            | Etelä-Pohjanmaa
        84 | Kauhava              | Etelä-Pohjanmaa
        85 | Kauniainen           | Uusimaa
        86 | Kaustinen            | Keski-Pohjanmaa
        87 | Keitele              | Pohjois-Savo
        88 | Kemi                 | Lappi
        89 | Kemijärvi            | Lappi
        90 | Keminmaa             | Lappi
        91 | Kemiönsaari          | Varsinais-Suomi
        92 | Kempele              | Pohjois-Pohjanmaa
        93 | Kerava               | Uusimaa
        94 | Keuruu               | Keski-Suomi
        95 | Kihniö               | Pirkanmaa
        96 | Kinnula              | Keski-Suomi
        97 | Kirkkonummi          | Uusimaa
        98 | Kitee                | Pohjois-Karjala
        99 | Kittilä              | Lappi
       100 | Kiuruvesi            | Pohjois-Savo
       101 | Kivijärvi            | Keski-Suomi
       102 | Kokemäki             | Satakunta
       103 | Kokkola              | Keski-Pohjanmaa
       104 | Kolari               | Lappi
       105 | Konnevesi            | Keski-Suomi
       106 | Kontiolahti          | Pohjois-Karjala
       107 | Korsnäs              | Pohjanmaa
       108 | Koski Tl             | Varsinais-Suomi
       109 | Kotka                | Kymenlaakso
       110 | Kouvola              | Kymenlaakso
       111 | Kristiinankaupunki   | Pohjanmaa
       112 | Kruunupyy            | Pohjanmaa
       113 | Kuhmo                | Kainuu
       114 | Kuhmoinen            | Keski-Suomi
       115 | Kumlinge             | Ahvenanmaa
       116 | Kuopio               | Pohjois-Savo
       117 | Kuortane             | Etelä-Pohjanmaa
       118 | Kurikka              | Etelä-Pohjanmaa
       119 | Kustavi              | Varsinais-Suomi
       120 | Kuusamo              | Pohjois-Pohjanmaa
       121 | Kyyjärvi             | Keski-Suomi
       122 | Kärkölä              | Päijät-Häme
       123 | Kärsämäki            | Pohjois-Pohjanmaa
       124 | Kökar                | Ahvenanmaa
       125 | Lahti                | Päijät-Häme
       126 | Laihia               | Pohjanmaa
       127 | Laitila              | Varsinais-Suomi
       128 | Lapinjärvi           | Uusimaa
       129 | Lapinlahti           | Pohjois-Savo
       130 | Lappajärvi           | Etelä-Pohjanmaa
       131 | Lappeenranta         | Etelä-Karjala
       132 | Lapua                | Etelä-Pohjanmaa
       133 | Laukaa               | Keski-Suomi
       134 | Lemi                 | Etelä-Karjala
       135 | Lemland              | Ahvenanmaa
       136 | Lempäälä             | Pirkanmaa
       137 | Leppävirta           | Pohjois-Savo
       138 | Lestijärvi           | Keski-Pohjanmaa
       139 | Lieksa               | Pohjois-Karjala
       140 | Lieto                | Varsinais-Suomi
       141 | Liminka              | Pohjois-Pohjanmaa
       142 | Liperi               | Pohjois-Karjala
       143 | Lohja                | Uusimaa
       144 | Loimaa               | Varsinais-Suomi
       145 | Loppi                | Kanta-Häme
       146 | Loviisa              | Uusimaa
       147 | Luhanka              | Keski-Suomi
       148 | Lumijoki             | Pohjois-Pohjanmaa
       149 | Lumparland           | Ahvenanmaa
       150 | Luoto                | Pohjanmaa
       151 | Luumäki              | Etelä-Karjala
       152 | Luvia                | Satakunta
       153 | Maalahti             | Pohjanmaa
       154 | Maarianhamina        | Ahvenanmaa
       155 | Marttila             | Varsinais-Suomi
       156 | Masku                | Varsinais-Suomi
       157 | Merijärvi            | Pohjois-Pohjanmaa
       158 | Merikarvia           | Satakunta
       159 | Miehikkälä           | Kymenlaakso
       160 | Mikkeli              | Etelä-Savo
       161 | Muhos                | Pohjois-Pohjanmaa
       162 | Multia               | Keski-Suomi
       163 | Muonio               | Lappi
       164 | Mustasaari           | Pohjanmaa
       165 | Muurame              | Keski-Suomi
       166 | Mynämäki             | Varsinais-Suomi
       167 | Myrskylä             | Uusimaa
       168 | Mäntsälä             | Uusimaa
       169 | Mänttä-Vilppula      | Pirkanmaa
       170 | Mäntyharju           | Etelä-Savo
       171 | Naantali             | Varsinais-Suomi
       172 | Nakkila              | Satakunta
       173 | Nivala               | Pohjois-Pohjanmaa
       174 | Nokia                | Pirkanmaa
       175 | Nousiainen           | Varsinais-Suomi
       176 | Nurmes               | Pohjois-Karjala
       177 | Nurmijärvi           | Uusimaa
       178 | Närpiö               | Pohjanmaa
       179 | Orimattila           | Päijät-Häme
       180 | Oripää               | Varsinais-Suomi
       181 | Orivesi              | Pirkanmaa
       182 | Oulainen             | Pohjois-Pohjanmaa
       183 | Oulu                 | Pohjois-Pohjanmaa
       184 | Outokumpu            | Pohjois-Karjala
       185 | Padasjoki            | Päijät-Häme
       186 | Paimio               | Varsinais-Suomi
       187 | Paltamo              | Kainuu
       188 | Parainen             | Varsinais-Suomi
       189 | Parikkala            | Etelä-Karjala
       190 | Parkano              | Pirkanmaa
       191 | Pedersören kunta     | Pohjanmaa
       192 | Pelkosenniemi        | Lappi
       193 | Pello                | Lappi
       194 | Perho                | Keski-Pohjanmaa
       195 | Pertunmaa            | Etelä-Savo
       196 | Petäjävesi           | Keski-Suomi
       197 | Pieksämäki           | Etelä-Savo
       198 | Pielavesi            | Pohjois-Savo
       199 | Pietarsaari          | Pohjanmaa
       200 | Pihtipudas           | Keski-Suomi
       201 | Pirkkala             | Pirkanmaa
       202 | Polvijärvi           | Pohjois-Karjala
       203 | Pomarkku             | Satakunta
       204 | Pori                 | Satakunta
       205 | Pornainen            | Uusimaa
       206 | Porvoo               | Uusimaa
       207 | Posio                | Lappi
       208 | Pudasjärvi           | Pohjois-Pohjanmaa
       209 | Pukkila              | Uusimaa
       210 | Punkalaidun          | Pirkanmaa
       211 | Puolanka             | Kainuu
       212 | Puumala              | Etelä-Savo
       213 | Pyhtää               | Kymenlaakso
       214 | Pyhäjoki             | Pohjois-Pohjanmaa
       215 | Pyhäjärvi            | Pohjois-Pohjanmaa
       216 | Pyhäntä              | Pohjois-Pohjanmaa
       217 | Pyhäranta            | Varsinais-Suomi
       218 | Pälkäne              | Pirkanmaa
       219 | Pöytyä               | Varsinais-Suomi
       220 | Raahe                | Pohjois-Pohjanmaa
       221 | Raasepori            | Uusimaa
       222 | Raisio               | Varsinais-Suomi
       223 | Rantasalmi           | Etelä-Savo
       224 | Ranua                | Lappi
       225 | Rauma                | Satakunta
       226 | Rautalampi           | Pohjois-Savo
       227 | Rautavaara           | Pohjois-Savo
       228 | Rautjärvi            | Etelä-Karjala
       229 | Reisjärvi            | Pohjois-Pohjanmaa
       230 | Riihimäki            | Kanta-Häme
       231 | Ristijärvi           | Kainuu
       232 | Rovaniemi            | Lappi
       233 | Ruokolahti           | Etelä-Karjala
       234 | Ruovesi              | Pirkanmaa
       235 | Rusko                | Varsinais-Suomi
       236 | Rääkkylä             | Pohjois-Karjala
       237 | Saarijärvi           | Keski-Suomi
       238 | Salla                | Lappi
       239 | Salo                 | Varsinais-Suomi
       240 | Saltvik              | Ahvenanmaa
       241 | Sastamala            | Pirkanmaa
       242 | Sauvo                | Varsinais-Suomi
       243 | Savitaipale          | Etelä-Karjala
       244 | Savonlinna           | Etelä-Savo
       245 | Savukoski            | Lappi
       246 | Seinäjoki            | Etelä-Pohjanmaa
       247 | Sievi                | Pohjois-Pohjanmaa
       248 | Siikainen            | Satakunta
       249 | Siikajoki            | Pohjois-Pohjanmaa
       250 | Siikalatva           | Pohjois-Pohjanmaa
       251 | Siilinjärvi          | Pohjois-Savo
       252 | Simo                 | Lappi
       253 | Sipoo                | Uusimaa
       254 | Siuntio              | Uusimaa
       255 | Sodankylä            | Lappi
       256 | Soini                | Etelä-Pohjanmaa
